"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press";"http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg"
"0966986105";"Prescription for Terror";"Sandra Levy Ceren";"1999";"Andrew Scott Publishers";"http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg"
"087113375X";"Modern Manners: An Etiquette Book for Rude People";"P.J. O'Rourke";"1990";"Atlantic Monthly Press";"http://images.amazon.com/images/P/087113375X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg"
"0340767936";"Turning Thirty";"Mike Gayle";"2000";"Hodder & Stoughton General Division";"http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg"
"0743403843";"Decipher";"Stel Pavlou";"2002";"Simon & Schuster (Trade Division)";"http://images.amazon.com/images/P/0743403843.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg"
"0060930365";"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell";"Sarah Payne Stuart";"1999";"Perennial";"http://images.amazon.com/images/P/0060930365.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg"
"0060177586";"Standing Firm: A Vice-Presidential Memoir";"Dan Quayle";"1994";"Harpercollins";"http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg"
"0071416331";"Team Bush : Leadership Lessons from the Bush White House";"Donald F. Kettl";"2003";"McGraw-Hill";"http://images.amazon.com/images/P/0071416331.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg"
"0375509038";"The Right Man : The Surprise Presidency of George W. Bush";"DAVID FRUM";"2003";"Random House";"http://images.amazon.com/images/P/0375509038.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0375509038.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg"
"0553062042";"Daybreakers Louis Lamour Collection";"Louis Lamour";"1981";"Bantam Doubleday Dell";"http://images.amazon.com/images/P/0553062042.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg"
